seed,epsilon,delta,m,threshold,test_covered,test_size,test_coverage,test_avg_size
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,162,0.94875,43.9825
2,0.05,-1,4,0.45,1,25,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,142,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,135,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,233,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,140,0.94875,43.9825
2,0.05,-1,4,0.45,1,210,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,9,0.94875,43.9825
2,0.05,-1,4,0.45,1,202,0.94875,43.9825
2,0.05,-1,4,0.45,1,22,0.94875,43.9825
2,0.05,-1,4,0.45,1,4,0.94875,43.9825
2,0.05,-1,4,0.45,1,172,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,10,0.94875,43.9825
2,0.05,-1,4,0.45,0,22,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,174,0.94875,43.9825
2,0.05,-1,4,0.45,1,13,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,0,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,5,0.94875,43.9825
2,0.05,-1,4,0.45,1,3,0.94875,43.9825
2,0.05,-1,4,0.45,1,84,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,44,0.94875,43.9825
2,0.05,-1,4,0.45,1,126,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,8,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,27,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,284,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,348,0.94875,43.9825
2,0.05,-1,4,0.45,1,4,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,153,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,10,0.94875,43.9825
2,0.05,-1,4,0.45,1,24,0.94875,43.9825
2,0.05,-1,4,0.45,1,131,0.94875,43.9825
2,0.05,-1,4,0.45,1,17,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,103,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,0,86,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,9,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,18,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,4,0.94875,43.9825
2,0.05,-1,4,0.45,0,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,174,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,212,0.94875,43.9825
2,0.05,-1,4,0.45,1,11,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,245,0.94875,43.9825
2,0.05,-1,4,0.45,1,181,0.94875,43.9825
2,0.05,-1,4,0.45,0,192,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,18,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,3,0.94875,43.9825
2,0.05,-1,4,0.45,1,30,0.94875,43.9825
2,0.05,-1,4,0.45,1,31,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,98,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,9,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,153,0.94875,43.9825
2,0.05,-1,4,0.45,1,157,0.94875,43.9825
2,0.05,-1,4,0.45,1,43,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,5,0.94875,43.9825
2,0.05,-1,4,0.45,1,133,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,247,0.94875,43.9825
2,0.05,-1,4,0.45,0,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,193,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,2,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,4,0.94875,43.9825
2,0.05,-1,4,0.45,1,1,0.94875,43.9825
2,0.05,-1,4,0.45,1,14,0.94875,43.9825
