seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
2,0.05,-1,1,0.6,0.96,347.225,0.9725,364.86125,1854.060879945755,1.1308312737941741
2,0.05,-1,8,0.5,0.955,55.69,0.96625,62.20625,2682.639767408371,0.7501889404654503
2,0.1,-1,8,0.4,0.94,15.655,0.94,18.54625,3206.4262614250183,0.513180074095726
2,0.1,-1,1,0.4,0.9,91.615,0.92375,106.515,2886.9815068244934,1.0711817544698716
2,0.05,-1,4,0.45,0.955,37.99,0.95375,43.3975,3626.8524281978607,0.9460029596090317
2,0.1,-1,4,0.4,0.935,20.84,0.9325,24.43,3835.69700217247,0.7770930030941963
2,0.1,-1,2,0.4,0.93,41.05,0.9125,43.07875,3747.047110557556,0.9124052879214287
2,0.05,-1,2,0.6,0.98,215.7,0.96,226.9175,3040.1798651218414,2.0477267035841944
2,0.2,-1,8,0.15,0.835,1.35,0.82875,1.18,4555.638222455978,0.5197403752803802
2,0.4,-1,8,0.03,0.635,1.005,0.7,1.0,4706.500321388245,0.5530933552980423
2,0.2,-1,2,0.15,0.82,1.94,0.82,1.9575,4800.708168268204,0.6099094593524933
2,0.2,-1,4,0.15,0.835,1.59,0.82875,1.20875,4847.0113916397095,0.588056814968586
2,0.2,-1,1,0.15,0.81,5.555,0.8125,6.05125,4774.8891570568085,1.551470155417919
2,0.4,-1,4,0.03,0.635,1.005,0.7,1.0,5666.589758634567,0.49531486988067625
2,0.4,-1,2,0.03,0.635,1.005,0.7,1.0,6518.039534568787,0.3554287871718407
2,0.4,-1,1,0.02,0.615,1.0,0.6275,1.0,6886.11923289299,1.5110103744268417
42,0.1,-1,2,0.35,0.905,25.95,0.90125,28.30875,3405.750249862671,0.6204504552483558
42,0.2,-1,4,0.15,0.81,1.11,0.8475,1.255,4355.273066520691,0.4368919485807419
42,0.05,-1,8,0.45,0.95,35.97,0.955,38.44125,5526.639546632767,0.657257339656353
