seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
2,0.05,-1,4,0.8,0.965,3.215,0.9225,2.5025,1166.939280986786,0.5492938300967216
2,0.05,-1,2,0.75,0.95,8.945,0.92375,5.7125,1285.7120842933655,0.5478316432237625
2,0.05,-1,8,0.8,0.95,2.165,0.92,1.82875,1412.9344365596771,0.6139453744888306
2,0.1,-1,4,0.65,0.92,1.705,0.875,1.44875,1550.927669286728,0.5368927249312401
2,0.1,-1,8,0.65,0.915,1.565,0.87625,1.38875,1607.7052929401398,0.5603240451216698
2,0.05,-1,1,0.55,0.95,12.385,0.87875,8.335,1747.8978440761566,0.5114675778150558
2,0.1,-1,1,0.45,0.905,7.66,0.8325,4.00375,2095.3124442100525,0.46722926557064054
2,0.2,-1,1,0.25,0.8,1.72,0.77875,1.12375,2529.786369085312,0.4779222312569618
2,0.2,-1,2,0.25,0.815,1.03,0.78375,1.025,2611.0085644721985,0.4971182292699814
2,0.2,-1,8,0.25,0.815,1.03,0.7825,1.015,2612.414298057556,0.5053231146931648
2,0.4,-1,2,0.05,0.64,1.0,0.6525,1.0,3092.3693923950195,0.4653096827864647
2,0.4,-1,4,0.05,0.64,1.0,0.6525,1.0,3077.9655117988586,0.483746600151062
2,0.4,-1,8,0.05,0.64,1.0,0.6525,1.0,3105.726711511612,0.45916214376688
2,0.4,-1,1,0.03,0.61,1.0,0.59625,1.0,3227.094078540802,0.47074059903621673
2,0.1,-1,2,0.6,0.905,2.94,0.86875,2.20125,3966.6191325187683,0.918463152050972
2,0.2,-1,4,0.25,0.815,1.03,0.7825,1.015,4247.420955657959,2.860176932513714
42,0.05,-1,2,0.85,0.95,9.01,0.9625,10.875,870.5376973152161,0.41386178076267244
42,0.05,-1,4,0.85,0.95,4.31,0.95,2.79625,871.1800053119659,0.41590041100978853
42,0.05,-1,8,0.85,0.955,2.17,0.95125,2.11625,872.7157971858978,0.425275838971138
42,0.05,-1,1,0.75,0.95,16.255,0.955,20.6875,1032.8485651016235,0.38744483947753905
42,0.1,-1,4,0.65,0.91,1.445,0.8875,1.425,1288.7350356578827,0.37296866536140444
