seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
2,0.05,0.01,2,0.95,0.99,300.54,0.98,241.43,8925.795784950256,4.999568946063518
2,0.05,0.001,8,0.99,0.995,82.74,0.98125,69.96,16106.606590747833,6.548190234005451
2,0.2,0.1,8,0.7,0.865,2.8,0.8625,2.4975,24404.595351696014,4.0282081463932995
2,0.05,0.01,8,0.99,0.995,82.74,0.98125,69.96,15270.39065170288,16.780755578279496
2,0.05,0.01,4,0.99,1.0,300.29,0.99,246.645,15156.610268592834,16.88969008773565
2,0.05,0.1,4,0.99,1.0,300.29,0.99,246.645,15230.88011264801,16.982224707007408
2,0.05,0.001,4,0.99,1.0,300.29,0.99,246.645,15950.237478017807,16.256821680665016
2,0.05,0.001,2,0.99,1.0,469.045,0.995,467.07125,15706.454545974731,16.501653685867787
2,0.05,0.1,8,0.99,0.995,82.74,0.98125,69.96,15639.022853136063,16.606946093738078
2,0.4,0.001,2,0.35,0.715,2.415,0.74875,1.6275,32242.241833925247,3.825122567117214
2,0.1,0.01,2,0.9,0.97,192.885,0.965,167.27875,21422.691632270813,15.294638652205467
2,0.05,0.1,2,0.95,0.99,300.54,0.98,241.43,21378.762581825256,16.23462321996689
2,0.1,0.01,8,0.95,0.965,22.84,0.96375,19.40125,21861.75946044922,16.292913431227205
2,0.1,0.001,4,0.95,0.97,101.125,0.96625,84.9875,22046.976713895798,16.31556636482477
2,0.1,0.001,8,0.95,0.965,22.84,0.96375,19.40125,21923.54855155945,16.470038006901742
2,0.2,0.01,4,0.75,0.89,7.75,0.88625,6.78125,27529.466330766678,14.350457534492016
2,0.1,0.01,4,0.9,0.95,49.73,0.94,45.0375,25442.72448015213,18.055489531457425
2,0.1,0.001,2,0.9,0.97,192.885,0.965,167.27875,25636.82487654686,18.00676393866539
2,0.05,0.01,1,0.9,0.995,392.725,0.97875,342.055,25942.677176952362,18.147432876229285
2,0.05,0.001,1,0.9,0.995,392.725,0.97875,342.055,25926.24312353134,18.476016233563424
2,0.1,0.1,2,0.85,0.945,136.095,0.95125,118.8725,28872.41208267212,18.768933977484703
2,0.1,0.1,4,0.85,0.94,28.085,0.9225,22.37875,28791.906131744385,18.78412808328867
2,0.1,0.001,1,0.85,0.975,334.09,0.965,282.10375,29119.943744182587,18.885975289046765
2,0.1,0.1,8,0.85,0.935,5.845,0.9225,5.8875,29193.027637720108,18.924111410677433
2,0.05,0.1,1,0.85,0.975,334.09,0.965,282.10375,29249.18159675598,19.14571920543909
2,0.1,0.01,1,0.8,0.96,280.675,0.94875,232.66,31949.710872650146,19.060505101680757
2,0.4,0.1,2,0.15,0.685,1.015,0.66625,1.005,47423.22563409805,3.55234787940979
2,0.4,0.01,8,0.2,0.69,1.035,0.69625,1.0175,47673.21660089493,3.572242579460144
2,0.2,0.1,4,0.65,0.845,4.07,0.84375,3.26125,46683.66302251816,5.090996173918247
2,0.2,0.001,2,0.75,0.91,83.95,0.91125,58.25,36596.163122177124,15.869420218467713
