seed,epsilon,delta,m,threshold,test_covered,test_size,test_coverage,test_avg_size
2,0.05,-1,1,0.95,1,47,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,45,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,37,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,41,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,46,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,46,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,41,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,48,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,47,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,45,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,47,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,45,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,44,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,44,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,45,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,36,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,42,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,39,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,44,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,42,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,42,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,42,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,41,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,38,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,44,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,45,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,42,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,45,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,51,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,47,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,44,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,43,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,41,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,47,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,43,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,49,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,49,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,44,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,44,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,42,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,47,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,43,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,41,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,45,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,46,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,47,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,49,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,41,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,37,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,46,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,47,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,37,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,51,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,43,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,42,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,45,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,45,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,44,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,45,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,39,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,44,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,43,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,39,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,46,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,46,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,38,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,43,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,45,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,48,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,40,1.0,43.86259541984733
2,0.05,-1,1,0.95,1,44,1.0,43.86259541984733
