seed,epsilon,delta,m,threshold,test_covered,test_size,test_coverage,test_avg_size
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
2,0.05,0.001,8,1,1,51,1.0,51.0
