seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
2,0.05,-1,1,0.95,0.9923664122137404,43.45038167938932,1.0,43.86259541984733,1121.63032746315,1.3841368260274407
2,0.2,-1,1,0.85,0.8091603053435115,32.61068702290076,0.8549618320610687,32.66412213740458,1321.7932159900665,1.372067962894003
2,0.1,-1,1,0.9,0.9083969465648855,37.80152671755725,0.9312977099236641,37.9236641221374,1359.6313607692719,1.5767166578132688
2,0.05,-1,8,0.75,0.9694656488549618,7.0,0.9847328244274809,7.603053435114504,1660.7350075244904,0.5374593862140452
2,0.2,-1,8,0.5,0.816793893129771,2.946564885496183,0.8931297709923665,3.2290076335877864,2239.5077238082886,0.6048030252675064
2,0.4,-1,8,0.4,0.6412213740458015,2.145038167938931,0.7633587786259542,2.3206106870229006,2480.61763215065,0.5513946882641042
2,0.4,-1,1,0.65,0.6412213740458015,19.12213740458015,0.7480916030534351,18.480916030534353,2806.4919884204865,1.9406462698492386
2,0.1,-1,4,0.7,0.9236641221374046,6.442748091603053,0.9770992366412213,7.076335877862595,3863.0356814861298,0.6398932369610736
2,0.1,-1,8,0.6,0.9083969465648855,4.0458015267175576,0.9083969465648855,4.473282442748092,4578.652391910553,1.1172208221814104
2,0.05,-1,2,0.9,0.9694656488549618,29.64885496183206,0.9847328244274809,29.717557251908396,5152.823570966721,6.453561063941199
2,0.05,-1,4,0.75,0.9541984732824428,8.458015267175572,0.9847328244274809,9.183206106870228,8205.385336875916,4.85672724701976
2,0.2,-1,4,0.5,0.8091603053435115,2.969465648854962,0.8702290076335878,3.282442748091603,10366.860320806503,0.4760391311791107
2,0.4,-1,4,0.4,0.6412213740458015,2.1526717557251906,0.7786259541984732,2.3206106870229006,10465.193320274353,0.2946040648540468
2,0.1,-1,2,0.85,0.9465648854961832,24.442748091603054,0.9770992366412213,24.35114503816794,18092.85864019394,14.11773434486098
2,0.2,-1,2,0.8,0.8396946564885496,19.572519083969464,0.9007633587786259,19.66412213740458,19416.338589429855,7.100149838979007
2,0.4,-1,2,0.45,0.6183206106870229,3.0839694656488548,0.7251908396946565,3.4122137404580153,21076.950612306595,0.6422662097989148
42,0.05,-1,1,0.95,0.9923664122137404,43.74809160305343,1.0,43.56488549618321,1922.917370557785,2.5416433101391975
42,0.1,-1,1,0.9,0.9083969465648855,37.83206106870229,0.9389312977099237,37.89312977099237,2376.3104588985443,2.5868604092197565
42,0.1,-1,8,0.65,0.9541984732824428,4.900763358778626,0.9236641221374046,5.1603053435114505,2980.7530434131622,0.9553071269552216
