seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
2,0.05,0.001,8,1,1.0,51.0,1.0,51.0,1026.893030166626,1.5937458886445024
2,0.05,0.001,4,1,1.0,51.0,1.0,51.0,1091.08238363266,1.5108695667208607
2,0.05,0.001,1,1,1.0,51.0,1.0,51.0,1002.7203147411346,2.8288078835902324
2,0.05,0.001,2,1,1.0,51.0,1.0,51.0,1461.9966831207275,1.6275829577263985
2,0.05,0.01,8,0.99,0.9923664122137404,32.267175572519086,0.9923664122137404,33.80916030534351,2802.9243812561035,2.950227317009263
2,0.4,0.01,8,0.45,0.7557251908396947,2.5572519083969465,0.8549618320610687,2.7404580152671754,3641.891799211502,0.5514049966826694
2,0.2,0.1,1,0.9,0.9083969465648855,37.80152671755725,0.9312977099236641,37.9236641221374,4170.270350694656,0.9788237327837762
2,0.05,0.1,8,0.85,0.9847328244274809,11.274809160305344,0.9923664122137404,12.229007633587786,4020.6790130138397,2.2852901975617153
2,0.1,0.001,1,0.95,0.9923664122137404,43.45038167938932,1.0,43.86259541984733,3809.711673259735,4.246797603505258
2,0.4,0.1,1,0.8,0.6946564885496184,26.519083969465647,0.7786259541984732,26.328244274809162,4363.303111553192,1.1737895084701422
2,0.05,0.01,1,0.95,0.9923664122137404,43.45038167938932,1.0,43.86259541984733,3924.613700389862,4.168781022079118
2,0.05,0.01,2,0.999,0.9923664122137404,44.0,1.0,44.038167938931295,3640.5233175754547,7.07289203614679
2,0.05,0.1,1,0.95,0.9923664122137404,43.45038167938932,1.0,43.86259541984733,3971.0792853832245,4.493547839972809
2,0.1,0.1,1,0.95,0.9923664122137404,43.45038167938932,1.0,43.86259541984733,4017.262450695038,4.134690111830034
2,0.1,0.01,1,0.95,0.9923664122137404,43.45038167938932,1.0,43.86259541984733,4025.564822912216,4.279777909053191
2,0.1,0.001,8,0.8,0.9770992366412213,8.702290076335878,0.9923664122137404,9.465648854961833,4455.477596521378,1.7927848673958815
2,0.05,0.01,4,0.995,0.9923664122137404,36.62595419847328,1.0,37.76335877862596,3901.0207397937775,6.756009970002502
2,0.1,0.01,8,0.75,0.9694656488549618,7.0,0.9847328244274809,7.603053435114504,4763.614780426025,1.5215997896121658
2,0.1,0.1,8,0.7,0.9389312977099237,5.7251908396946565,0.9847328244274809,6.251908396946565,5049.257550239563,1.333623820588789
2,0.2,0.1,8,0.55,0.8625954198473282,3.4427480916030535,0.8931297709923665,3.732824427480916,5314.828462839127,0.33132725635557686
2,0.2,0.001,1,0.9,0.9083969465648855,37.80152671755725,0.9312977099236641,37.9236641221374,4775.18963098526,3.9291107181374354
2,0.2,0.01,1,0.9,0.9083969465648855,37.80152671755725,0.9312977099236641,37.9236641221374,4837.7840003967285,3.9215824604034424
2,0.4,0.001,4,0.5,0.8091603053435115,2.969465648854962,0.8702290076335878,3.282442748091603,5740.595880031586,0.40405449612450056
2,0.2,0.01,8,0.6,0.9083969465648855,4.0458015267175576,0.9083969465648855,4.473282442748092,5721.77824306488,1.244657041462323
2,0.2,0.001,8,0.6,0.9083969465648855,4.0458015267175576,0.9083969465648855,4.473282442748092,5750.000419855118,1.1695754582645328
2,0.4,0.001,1,0.85,0.8091603053435115,32.61068702290076,0.8549618320610687,32.66412213740458,5518.006087779999,3.6332420647599313
2,0.4,0.01,1,0.85,0.8091603053435115,32.61068702290076,0.8549618320610687,32.66412213740458,5555.089499950409,3.8222708865886426
2,0.4,0.001,2,0.8,0.8396946564885496,19.572519083969464,0.9007633587786259,19.66412213740458,5741.908137083054,4.424094919029993
2,0.4,0.1,8,0.45,0.7557251908396947,2.5572519083969465,0.8549618320610687,2.7404580152671754,6497.257093667984,0.9994725453034612
2,0.4,0.001,8,0.45,0.7557251908396947,2.5572519083969465,0.8549618320610687,2.7404580152671754,6489.612256765366,1.025175067304655
2,0.4,0.1,4,0.45,0.732824427480916,2.564885496183206,0.8396946564885496,2.7557251908396947,7552.546543836594,0.2853005205401937
